UF;Município;Município-UF;IBGE
TO;Palmas;Palmas-TO;1721000
TO;Palmeirante;Palmeirante-TO;1715705
TO;Palmeiras do Tocantins;Palmeiras do Tocantins-TO;1713809
TO;Palmeirópolis;Palmeirópolis-TO;1715754
TO;Paraíso do Tocantins;Paraíso do Tocantins-TO;1716109
TO;Paranã;Paranã-TO;1716208
TO;Pau D'Arco;Pau D'Arco-TO;1716307
TO;Pedro Afonso;Pedro Afonso-TO;1716505
TO;Peixe;Peixe-TO;1716604
TO;Pequizeiro;Pequizeiro-TO;1716653
TO;Pindorama do Tocantins;Pindorama do Tocantins-TO;1717008
TO;Piraquê;Piraquê-TO;1717206
TO;Pium;Pium-TO;1717503
TO;Ponte Alta do Bom Jesus;Ponte Alta do Bom Jesus-TO;1717800
TO;Ponte Alta do Tocantins;Ponte Alta do Tocantins-TO;1717909
TO;Porto Alegre do Tocantins;Porto Alegre do Tocantins-TO;1718006
TO;Porto Nacional;Porto Nacional-TO;1718204
TO;Praia Norte;Praia Norte-TO;1718303
TO;Presidente Kennedy;Presidente Kennedy-TO;1718402
TO;Pugmil;Pugmil-TO;1718451
TO;Recursolândia;Recursolândia-TO;1718501
TO;Riachinho;Riachinho-TO;1718550
TO;Rio da Conceição;Rio da Conceição-TO;1718659
TO;Rio dos Bois;Rio dos Bois-TO;1718709
TO;Rio Sono;Rio Sono-TO;1718758
TO;Sampaio;Sampaio-TO;1718808
TO;Sandolândia;Sandolândia-TO;1718840
TO;Santa Fé do Araguaia;Santa Fé do Araguaia-TO;1718865
TO;Santa Maria do Tocantins;Santa Maria do Tocantins-TO;1718881
TO;Santa Rita do Tocantins;Santa Rita do Tocantins-TO;1718899
TO;Santa Rosa do Tocantins;Santa Rosa do Tocantins-TO;1718907
TO;Santa Tereza do Tocantins;Santa Tereza do Tocantins-TO;1719004
TO;Santa Terezinha do Tocantins;Santa Terezinha do Tocantins-TO;1720002
TO;São Bento do Tocantins;São Bento do Tocantins-TO;1720101
TO;São Félix do Tocantins;São Félix do Tocantins-TO;1720150
TO;São Miguel do Tocantins;São Miguel do Tocantins-TO;1720200
TO;São Salvador do Tocantins;São Salvador do Tocantins-TO;1720259
TO;São Sebastião do Tocantins;São Sebastião do Tocantins-TO;1720309
TO;São Valério;São Valério-TO;1720499
TO;Silvanópolis;Silvanópolis-TO;1720655
TO;Sítio Novo do Tocantins;Sítio Novo do Tocantins-TO;1720804
TO;Sucupira;Sucupira-TO;1720853
TO;Taguatinga;Taguatinga-TO;1720903
TO;Taipas do Tocantins;Taipas do Tocantins-TO;1720937
TO;Talismã;Talismã-TO;1720978
TO;Tocantínia;Tocantínia-TO;1721109
TO;Tocantinópolis;Tocantinópolis-TO;1721208
TO;Tupirama;Tupirama-TO;1721257
TO;Tupiratins;Tupiratins-TO;1721307
TO;Wanderlândia;Wanderlândia-TO;1722081
TO;Xambioá;Xambioá-TO;1722107
MA;Açailândia;Açailândia-MA;2100055
MA;Afonso Cunha;Afonso Cunha-MA;2100105
MA;Água Doce do Maranhão;Água Doce do Maranhão-MA;2100154
MA;Alcântara;Alcântara-MA;2100204
MA;Aldeias Altas;Aldeias Altas-MA;2100303
MA;Altamira do Maranhão;Altamira do Maranhão-MA;2100402
MA;Alto Alegre do Maranhão;Alto Alegre do Maranhão-MA;2100436
MA;Alto Alegre do Pindaré;Alto Alegre do Pindaré-MA;2100477
MA;Alto Parnaíba;Alto Parnaíba-MA;2100501
MA;Amapá do Maranhão;Amapá do Maranhão-MA;2100550
MA;Amarante do Maranhão;Amarante do Maranhão-MA;2100600
MA;Anajatuba;Anajatuba-MA;2100709
MA;Anapurus;Anapurus-MA;2100808
MA;Apicum-Açu;Apicum-Açu-MA;2100832
MA;Araguanã;Araguanã-MA;2100873
MA;Araioses;Araioses-MA;2100907
MA;Arame;Arame-MA;2100956
MA;Arari;Arari-MA;2101004
MA;Axixá;Axixá-MA;2101103
MA;Bacabal;Bacabal-MA;2101202
MA;Bacabeira;Bacabeira-MA;2101251
MA;Bacuri;Bacuri-MA;2101301
MA;Bacurituba;Bacurituba-MA;2101350
MA;Balsas;Balsas-MA;2101400
MA;Barão de Grajaú;Barão de Grajaú-MA;2101509
MA;Barra do Corda;Barra do Corda-MA;2101608
MA;Barreirinhas;Barreirinhas-MA;2101707
MA;Bela Vista do Maranhão;Bela Vista do Maranhão-MA;2101772
MA;Belágua;Belágua-MA;2101731
MA;Benedito Leite;Benedito Leite-MA;2101806
MA;Bequimão;Bequimão-MA;2101905
MA;Bernardo do Mearim;Bernardo do Mearim-MA;2101939
MA;Boa Vista do Gurupi;Boa Vista do Gurupi-MA;2101970
MA;Bom Jardim;Bom Jardim-MA;2102002
MA;Bom Jesus das Selvas;Bom Jesus das Selvas-MA;2102036
MA;Bom Lugar;Bom Lugar-MA;2102077
MA;Brejo;Brejo-MA;2102101
MA;Brejo de Areia;Brejo de Areia-MA;2102150
MA;Buriti;Buriti-MA;2102200
MA;Buriti Bravo;Buriti Bravo-MA;2102309
MA;Buriticupu;Buriticupu-MA;2102325
MA;Buritirana;Buritirana-MA;2102358
MA;Cachoeira Grande;Cachoeira Grande-MA;2102374
MA;Cajapió;Cajapió-MA;2102408
MA;Cajari;Cajari-MA;2102507
MA;Campestre do Maranhão;Campestre do Maranhão-MA;2102556
MA;Cândido Mendes;Cândido Mendes-MA;2102606
MA;Cantanhede;Cantanhede-MA;2102705
MA;Capinzal do Norte;Capinzal do Norte-MA;2102754
MA;Carolina;Carolina-MA;2102804
MA;Carutapera;Carutapera-MA;2102903
MA;Caxias;Caxias-MA;2103000
MA;Cedral;Cedral-MA;2103109
MA;Central do Maranhão;Central do Maranhão-MA;2103125
MA;Centro do Guilherme;Centro do Guilherme-MA;2103158
MA;Centro Novo do Maranhão;Centro Novo do Maranhão-MA;2103174
MA;Chapadinha;Chapadinha-MA;2103208
MA;Cidelândia;Cidelândia-MA;2103257
MA;Codó;Codó-MA;2103307
MA;Coelho Neto;Coelho Neto-MA;2103406
MA;Colinas;Colinas-MA;2103505
MA;Conceição do Lago-Açu;Conceição do Lago-Açu-MA;2103554
MA;Coroatá;Coroatá-MA;2103604
MA;Cururupu;Cururupu-MA;2103703
MA;Davinópolis;Davinópolis-MA;2103752
MA;Dom Pedro;Dom Pedro-MA;2103802
MA;Duque Bacelar;Duque Bacelar-MA;2103901
MA;Esperantinópolis;Esperantinópolis-MA;2104008
MA;Estreito;Estreito-MA;2104057
MA;Feira Nova do Maranhão;Feira Nova do Maranhão-MA;2104073
MA;Fernando Falcão;Fernando Falcão-MA;2104081
MA;Formosa da Serra Negra;Formosa da Serra Negra-MA;2104099
MA;Fortaleza dos Nogueiras;Fortaleza dos Nogueiras-MA;2104107
MA;Fortuna;Fortuna-MA;2104206
MA;Godofredo Viana;Godofredo Viana-MA;2104305
MA;Gonçalves Dias;Gonçalves Dias-MA;2104404
MA;Governador Archer;Governador Archer-MA;2104503
MA;Governador Edison Lobão;Governador Edison Lobão-MA;2104552
MA;Governador Eugênio Barros;Governador Eugênio Barros-MA;2104602
MA;Governador Luiz Rocha;Governador Luiz Rocha-MA;2104628
MA;Governador Newton Bello;Governador Newton Bello-MA;2104651
